dataset,arch,config,epoch_n,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
mnist,deep,ln,100,0.9860571428571429,0.0006133436852128624,7,0.8131285714285715,0.018558440513300467,7
mnist,deep,ln,150,0.9873571428571429,0.0006214422549122961,7,0.8150000000000001,0.01640558847872678,7
mnist,deep,ln,200,0.9877714285714286,0.0004644505202002545,7,0.8191285714285714,0.021796002254673083,7
mnist,deep,ln_drop,10,0.9794999999999999,0.0010066445913694628,7,0.8646142857142857,0.0195953590229446,7
mnist,deep,ln_drop,25,0.9840857142857143,0.0006256425268702424,7,0.8641142857142857,0.015032567819174975,7
mnist,deep,ln_drop,50,0.9856714285714286,0.0005992058236095486,7,0.8546714285714286,0.019699383601669257,7
mnist,deep,ln_drop,75,0.9862714285714286,0.0005407226205559992,7,0.8311714285714286,0.028612684499810838,7
mnist,deep,ln_drop,100,0.9869714285714286,0.0004990467102863347,7,0.8298428571428571,0.01197537155204475,7
mnist,deep,ln_drop,150,0.9877142857142857,0.00024102953780650555,7,0.8051142857142857,0.023845504717621216,7
mnist,deep,ln_drop,200,0.9880000000000001,0.0003265986323710913,7,0.8166714285714286,0.014720701329048475,7
mnist,deep,plain,10,0.9794857142857143,0.001162509600574764,7,0.6603,0.030700000000000043,7
mnist,deep,plain,25,0.9833,0.0012179217270963385,7,0.6767857142857142,0.04660166050587423,7
mnist,deep,plain,50,0.9833571428571428,0.0013364843718466943,7,0.7103571428571429,0.04156913346634569,7
mnist,deep,plain,75,0.9851857142857143,0.0006718843437888745,7,0.7053714285714285,0.06665214960988916,7
mnist,deep,plain,100,0.9858571428571429,0.0009289010404004599,7,0.713057142857143,0.04564587813238114,7
mnist,deep,plain,150,0.9868285714285714,0.0007227592630890287,7,0.7263428571428572,0.03904266286781068,7
mnist,deep,plain,200,0.9870142857142857,0.0009423880506963256,7,0.7177571428571429,0.033105430427794146,7
mnist,shallow,drop,10,0.9797285714285715,0.001333809438805885,7,0.8381142857142857,0.015030572019656992,7
mnist,shallow,drop,25,0.9826714285714286,0.0008280786712108379,7,0.8386428571428571,0.026084469015288048,7
mnist,shallow,drop,50,0.9844142857142858,0.0009546876826630612,7,0.8361857142857143,0.024677616617184924,7
mnist,shallow,drop,75,0.9852285714285715,0.0006524678426668104,7,0.8294142857142858,0.024278964047876817,7
mnist,shallow,drop,100,0.9859428571428571,0.0006373307431706658,7,0.8289142857142856,0.007449928091695154,7
mnist,shallow,drop,150,0.9866714285714285,0.0005186980037050338,7,0.8139857142857142,0.016047162633046,7
